,Season,Overall W-L%,NCAA Tournament,Average Opponent NET,Average PPG,Average Opp PPG,Winning Pct,tourney_encoded
0,2025-26,0.929,Missed Tournament,157.0,81.2,63.7,0.929,0
1,2024-25,0.622,First Round,96.07142857142857,85.35714285714286,79.64285714285714,0.5714285714285714,1
2,2023-24,0.784,Sweet Sixteen,111.07142857142857,83.57142857142857,70.78571428571429,0.7857142857142857,2
3,2022-23,0.606,Missed Tournament,85.71428571428571,80.92857142857143,74.64285714285714,0.6428571428571429,0
4,2021-22,0.744,National Runner-Up,96.07142857142857,79.07142857142857,71.42857142857143,0.7142857142857143,5
